,time_list,x,y,psi,u,v,r,δ,npm,X_H_ref,X_R_ref,X_P_ref,Y_H_ref,Y_R_ref,N_H_ref,N_R_ref,x_bow,y_bow,x_stern,y_stern
21,21,28.16787833333333,0.0174,0.6683853968033309,0.18147795770951528,0.050724220398430504,-0.07746296567336808,-0.6108652381980153,9.0,-0.9477286036122899,-2.9787998541929617,3.796227255337992,-6.374866497507947,4.25416707424938,6.474730720750967,-8.468077467058155,29.54131909033597,1.101909330067755,26.79443757633069,-1.0671093300677548
22,22,28.278871666666667,0.169675,0.5909224311299628,0.18025659148031475,0.05857122890700294,-0.07008638676367696,-0.6108652381980153,9.0,-0.9078093016361654,-2.9843862869851083,3.8042128203573875,-6.156041677214733,4.262145327106283,5.472584452148753,-8.483958475505844,29.73211912829569,1.144647725397386,26.825624205037645,-0.805297725397386
23,23,28.39593,0.31874,0.5208360443662858,0.19171720702344658,0.06297392059871483,-0.08098634111104719,-0.6108652381980153,9.0,-1.1258668877001627,-2.996281022564183,3.743975168995745,-7.735867377098903,4.279132770014264,7.188770600383096,-8.517772611152452,29.913886059543408,1.1895496240255117,26.87797394045659,-0.5520696240255117
24,24,28.53089,0.4687633333333333,0.43984970325523864,0.190334138338661,0.06572432043596411,-0.07953188077016415,-0.6108652381980153,9.0,-1.121704894837206,-2.990496179996469,3.7506304452012147,-7.777625755400029,4.2708711586318655,6.990511812283674,-8.501327567042093,30.114317423053034,1.2139194216286848,26.947462576946965,-0.2763927549620182
25,25,28.67512166666667,0.6092766666666667,0.3603178224850745,0.18829899055446442,0.06622011502516846,-0.07679673026519085,-0.6108652381980153,9.0,-1.0786563108732066,-2.989036754353046,3.761355133278375,-7.490555315574325,4.2687868828082225,6.565932424618903,-8.497178738651181,30.312745094210925,1.226277079598625,27.037498239122414,-0.007723746265291709
26,26,28.827981666666666,0.7376333333333334,0.28352109221988364,0.17680528140481913,0.06443500657964077,-0.07357706646919926,-0.6108652381980153,9.0,-0.986684336910245,-2.950398881373133,3.8171095667321917,-6.9327721974039225,4.213606281527205,6.03418464713651,-8.387339703613058,30.50811538237719,1.2271746465365676,27.14784795095614,0.24809202013009912
27,27,28.979703333333333,0.8489549999999999,0.20994402575068438,0.17687101595972163,0.060918447005795115,-0.0716280004593095,-0.6108652381980153,9.0,-0.9359992577324905,-2.9618256186963072,3.8183338755672467,-6.46135472962126,4.229925353658862,5.704302757946419,-8.419823422420873,30.691277851095542,1.2136640212032828,27.268128815571124,0.48424597879671716
28,28,29.139995,0.9453966666666667,0.13831602529137488,0.1782627395819289,0.06503640851322823,-0.07670252684279033,-0.6108652381980153,9.0,-1.0401077909177179,-2.94613499570603,3.808980770542938,-7.337725131402371,4.207516821710755,6.5167925490575405,-8.37521840782043,30.873281763538603,1.1866786497111224,27.406708236461395,0.704114683622211
29,29,29.307588333333328,1.03439,0.06161349844858455,0.17856362864822006,0.06479631485220494,-0.0760660928366601,-0.6108652381980153,9.0,-1.0300052905898933,-2.9498557638467777,3.8078092785690862,-7.247522954583838,4.212830629314514,6.415929634278963,-8.385795739093112,31.0542676887329,1.1421454148102728,27.560908977933757,0.9266345851897271
30,30,29.48182333333333,1.1100583333333334,-0.014452594388075557,0.1778647012137212,0.0665791368801838,-0.07432991484951845,-0.6108652381980153,9.0,-1.0145092739899098,-2.9495298130557055,3.8114855754957713,-7.187250328575217,4.2123651233419475,6.179883989798635,-8.384869132176114,31.23164056871567,1.0847671736346274,27.732006097950993,1.1353494930320394
